Month,AirQualityStation,average_no2,index
2018-12,STA.03.1401,0.3371329939809783,8
2018-01,STA.03.1402,0.31372571862585036,9
2018-02,STA.03.1402,0.3430019686706948,9
2018-03,STA.03.1402,0.3588631024184783,9
2018-04,STA.03.1402,0.20973252992977529,9
2018-05,STA.03.1402,0.18796620563265304,9
2018-06,STA.03.1402,0.15640729213161658,9
2018-07,STA.03.1402,0.15870783318367346,9
2018-08,STA.03.1402,0.1790124444972826,9
2018-09,STA.03.1402,0.20834945312236286,9
2018-10,STA.03.1402,0.24569110353741497,9
2018-11,STA.03.1402,0.33876977969101124,9
2018-12,STA.03.1402,0.33308612640816326,9
2018-01,STA.03.2302,0.35696795713114754,10
2018-02,STA.03.2302,0.39574239888048407,10
2018-03,STA.03.2302,0.426406764436937,10
2018-04,STA.03.2302,0.24112014328169015,10
2018-05,STA.03.2302,0.2337726383423913,10
2018-06,STA.03.2302,0.28192376937677055,10
2018-07,STA.03.2302,0.2890705451630435,10
2018-08,STA.03.2302,0.2564452406548431,10
2018-09,STA.03.2302,0.28875210863764045,10
2018-10,STA.03.2302,0.34097419289222375,10
2018-11,STA.03.2302,0.40289604726123596,10
2018-12,STA.03.2302,0.40358361247267754,10
2018-01,STA.04.S173,0.45236751756028365,11
2018-02,STA.04.S173,0.41651113256289307,11
2018-03,STA.04.S173,0.4633680886628734,11
2018-04,STA.04.S173,0.307319644359352,11
2018-05,STA.04.S173,0.27823575394366196,11
2018-06,STA.04.S173,0.2598351866473149,11
2018-07,STA.04.S173,0.2173815178217822,11
2018-08,STA.04.S173,0.18936772983122366,11
2018-09,STA.04.S173,0.15566074638081395,11
2018-10,STA.04.S173,0.3523737275847458,11
2018-11,STA.04.S173,0.2815248765647744,11
2018-12,STA.04.S173,0.5758863865682138,11
2018-01,STA.04.S217,0.22985390983074752,12
2018-02,STA.04.S217,0.3292793668131868,12
2018-03,STA.04.S217,0.3683417206862745,12
2018-04,STA.04.S217,0.14591710881481482,12
2018-05,STA.04.S217,0.09620625251404495,12
2018-06,STA.04.S217,0.07305355959243086,12
2018-07,STA.04.S217,0.0972191485835694,12
2018-08,STA.04.S217,0.1621375339189189,12
2018-09,STA.04.S217,0.2157713881603774,12
2018-10,STA.04.S217,0.20487455790591805,12
2018-11,STA.04.S217,0.3015927103513909,12
2018-12,STA.04.S217,0.32241118862359547,12
2018-01,STA.04.S406,0.32998647693409744,13
2018-02,STA.04.S406,0.3551038668081761,13
2018-03,STA.04.S406,0.36228421366237484,13
2018-04,STA.04.S406,0.21925050922058822,13
2018-05,STA.04.S406,0.1914289891416309,13
2018-06,STA.04.S406,0.1583808355228277,13
2018-07,STA.04.S406,0.16725157179083094,13
2018-08,STA.04.S406,0.1809252377951636,13
2018-09,STA.04.S406,0.2226294726775148,13
2018-10,STA.04.S406,0.2799430366273932,13
2018-11,STA.04.S406,0.33216111658284025,13
2018-12,STA.04.S406,0.345448662112069,13
2018-01,STA.04.S416,0.32401769014204546,14
2018-02,STA.04.S416,0.3835173165830721,14
2018-03,STA.04.S416,0.38072273465909096,14
2018-04,STA.04.S416,0.3036389506140351,14
2018-05,STA.04.S416,0.29821405245014243,14
2018-06,STA.04.S416,0.20189643633040938,14
2018-07,STA.04.S416,0.2008131766242938,14
2018-08,STA.04.S416,0.21972254569816646,14
2018-09,STA.04.S416,0.2742471447076023,14
2018-10,STA.04.S416,0.31061708028248586,14
2018-11,STA.04.S416,0.36956850158357774,14
2018-12,STA.04.S416,0.35972660922206506,14
2018-01,STA.04.S431,0.39990715980281694,15
2018-02,STA.04.S431,0.396819463894081,15
2018-03,STA.04.S431,0.44791378198312237,15
2018-04,STA.04.S431,0.31195971291970803,15
2018-05,STA.04.S431,0.3040324320028209,15
2018-06,STA.04.S431,0.21838209315789472,15
2018-07,STA.04.S431,0.22163525327683614,15
2018-08,STA.04.S431,0.2518429510296192,15
2018-09,STA.04.S431,0.2899789322965116,15
2018-10,STA.04.S431,0.35804311811347517,15
2018-11,STA.04.S431,0.37873604093567254,15
2018-12,STA.04.S431,0.4021593447398031,15
2018-01,STA.05.1000,0.3900544444662921,16
2018-02,STA.05.1000,0.42494134422360247,16
2018-03,STA.05.1000,0.411014964887324,16
2018-04,STA.05.1000,0.3004332883357453,16
2018-05,STA.05.1000,0.2823230597896213,16
2018-06,STA.05.1000,0.2284942164680233,16
2018-07,STA.05.1000,0.24330059332394366,16
2018-08,STA.05.1000,0.27269108258064517,16
2018-09,STA.05.1000,0.29657432687045127,16
2018-10,STA.05.1000,0.32930122589488636,16
2018-11,STA.05.1000,0.4634967001596517,16
2018-12,STA.05.1000,0.35931532930985915,16
2018-01,STA.05.1066,0.281237423085554,17
2018-02,STA.05.1066,0.33738613811320756,17
2018-03,STA.05.1066,0.3189671967277856,17
2018-04,STA.05.1066,0.2131891335362319,17
2018-05,STA.05.1066,0.20580440861581922,17
2018-06,STA.05.1066,0.1674408082633864,17
2018-07,STA.05.1066,0.17306325710674156,17
2018-08,STA.05.1066,0.1875818106930693,17
2018-09,STA.05.1066,0.20703052169075145,17
2018-10,STA.05.1066,0.25677480567415734,17
2018-11,STA.05.1066,0.35339444866859626,17
2018-12,STA.05.1066,0.2790321164084507,17
2018-01,STA.05.2000,0.41517637841068916,18
2018-02,STA.05.2000,0.5189394485225505,18
2018-03,STA.05.2000,0.4210429407052186,18
2018-04,STA.05.2000,0.25629898894356007,18
2018-05,STA.05.2000,0.24989983315049225,18
2018-06,STA.05.2000,0.2267100872173913,18
2018-07,STA.05.2000,0.2318340929957806,18
2018-08,STA.05.2000,0.236565883697479,18
2018-09,STA.05.2000,0.261679739636099,18
2018-10,STA.05.2000,0.2880694228854314,18
2018-11,STA.05.2000,0.4418729649710145,18
2018-12,STA.05.2000,0.3809067105070423,18
2018-01,STA.06.142,0.8764411847960618,19
2018-02,STA.06.142,0.4744214192068429,19
2018-03,STA.06.142,0.5190868944382022,19
2018-04,STA.06.142,0.5227539006676343,19
2018-05,STA.06.142,0.45581004768583455,19
2018-06,STA.06.142,0.4105723428947369,19
2018-07,STA.06.142,0.4677118252734923,19
2018-08,STA.06.142,0.4758899844101124,19
2018-09,STA.06.142,0.456781621002907,19
2018-10,STA.06.142,0.5939654431837307,19
2018-11,STA.06.142,0.5618593281277213,19
2018-12,STA.06.142,0.7154084022708039,19
2018-01,STA.06.164,0.63220744286115,20
2018-02,STA.06.164,0.5149536263084111,20
2018-03,STA.06.164,0.47934986655898876,20
2018-04,STA.06.164,0.31057022431059506,20
2018-05,STA.06.164,0.2516180483098592,20
2018-06,STA.06.164,0.21359378327536233,20
2018-07,STA.06.164,0.22377206987359552,20
2018-08,STA.06.164,0.2521757493960674,20
2018-09,STA.06.164,0.2778571994057971,20
2018-10,STA.06.164,0.378015332454418,20
2018-11,STA.06.164,0.4232295841654572,20
2018-12,STA.06.164,0.7436054207573632,20
2018-01,STA.06.170,0.6581546638148668,21
2018-02,STA.06.170,0.4834654723639191,21
2018-03,STA.06.170,0.4531453299156118,21
2018-04,STA.06.170,0.2531348860942249,21
2018-05,STA.06.170,0.22125144951070336,21
2018-06,STA.06.170,0.1907906326055313,21
2018-07,STA.06.170,0.19408330987377279,21
2018-08,STA.06.170,0.22148841511235956,21
2018-09,STA.06.170,0.2459424617005814,21
2018-10,STA.06.170,0.38716298626760565,21
2018-11,STA.06.170,0.4180124557764877,21
2018-12,STA.06.170,0.800508810631136,21
2018-01,STA.06.172,0.6044019996488764,22
2018-02,STA.06.172,0.5234308497667185,22
2018-03,STA.06.172,0.4766131643820225,22
2018-04,STA.06.172,0.28116932017416546,22
2018-05,STA.06.172,0.2511694835161744,22
2018-06,STA.06.172,0.21789271304347824,22
2018-07,STA.06.172,0.22856425091292135,22
2018-08,STA.06.172,0.24447172984463278,22
2018-09,STA.06.172,0.26953065160869566,22
2018-10,STA.06.172,0.1137361135161744,22
2018-11,STA.06.172,0.08696964007256894,22
2018-12,STA.06.172,0.5002108146910113,22
2018-01,STA.07.2110,0.4417404160308555,23
2018-02,STA.07.2110,0.4355626529968944,23
2018-03,STA.07.2110,0.37747925476727784,23
2018-04,STA.07.2110,0.254912543115942,23
2018-05,STA.07.2110,0.231609234628331,23
2018-06,STA.07.2110,0.20910579128985507,23
2018-07,STA.07.2110,0.21728243447887324,23
2018-08,STA.07.2110,0.22674594190743336,23
2018-09,STA.07.2110,0.2672773411790393,23
2018-10,STA.07.2110,0.29773327628331,23
2018-11,STA.07.2110,0.3880286708115942,23
2018-12,STA.07.2110,0.5050094684507043,23
2018-01,STA.07.2910,0.6682895216269285,24
2018-02,STA.07.2910,0.6371183809937888,24
2018-03,STA.07.2910,0.5453766738928068,24
2018-04,STA.07.2910,0.312280174057971,24
2018-05,STA.07.2910,0.3187613240112202,24
2018-06,STA.07.2910,0.2669225143768116,24
2018-07,STA.07.2910,0.2798026306338028,24
2018-08,STA.07.2910,0.23577192963585433,24
2018-09,STA.07.2910,0.3201378217105263,24
2018-10,STA.07.2910,0.3643585171528752,24
2018-11,STA.07.2910,0.5761151964680233,24
2018-12,STA.07.2910,0.6176954384203103,24
2018-01,STA.08.1919,0.4513271613936782,25
2018-02,STA.08.1919,0.42192612262725776,25
2018-03,STA.08.1919,0.3954199814548022,25
2018-04,STA.08.1919,0.2913136381268437,25
2018-05,STA.08.1919,0.24443066675141242,25
2018-06,STA.08.1919,0.22541035775036283,25
2018-07,STA.08.1919,0.22425684206214688,25
2018-08,STA.08.1919,0.22698522408963587,25
2018-09,STA.08.1919,0.28664127656976746,25
2018-10,STA.08.1919,0.2914381635360679,25
2018-11,STA.08.1919,0.43047258068914956,25
2018-12,STA.08.1919,0.4243038804213483,25
2018-01,STA.09.A23,0.32933093185915496,26
2018-02,STA.09.A23,0.37238312042253524,26
2018-03,STA.09.A23,0.347854246550152,26
2018-04,STA.09.A23,0.21383987140988372,26
2018-05,STA.09.A23,0.1946865178028169,26
2018-06,STA.09.A23,0.182303465007278,26
2018-07,STA.09.A23,0.18975093450070324,26
2018-08,STA.09.A23,0.1998123348519041,26
2018-09,STA.09.A23,0.23101407138483965,26
2018-10,STA.09.A23,0.25008350649295774,26
2018-11,STA.09.A23,0.3178644375907112,26
2018-12,STA.09.A23,0.337139348650904,26
2018-01,STA.09.MBA,0.39792112994374124,27
2018-02,STA.09.MBA,0.4222383297659906,27
2018-03,STA.09.MBA,0.42149572398030943,27
2018-04,STA.09.MBA,0.2640727478311499,27
2018-05,STA.09.MBA,0.22394512843881856,27
2018-06,STA.09.MBA,0.21025983896350364,27
2018-07,STA.09.MBA,0.19899587530239102,27
2018-08,STA.09.MBA,0.24397100517630466,27
2018-09,STA.09.MBA,0.2735678927696793,27
2018-10,STA.09.MBA,0.3273032121940928,27
2018-11,STA.09.MBA,0.4148256919213974,27
2018-12,STA.09.MBA,0.39925512067892505,27
2018-01,STA.09.TAB,0.3678429397609001,28
2018-02,STA.09.TAB,0.3974550709859155,28
2018-03,STA.09.TAB,0.41503528066011236,28
2018-04,STA.09.TAB,0.26792934447674416,28
2018-05,STA.09.TAB,0.24507146198591548,28
2018-06,STA.09.TAB,0.19287071479591839,28
2018-07,STA.09.TAB,0.19258891618846694,28
2018-08,STA.09.TAB,0.22132394857344634,28
2018-09,STA.09.TAB,0.2579014963081395,28
2018-10,STA.09.TAB,0.29495695135021094,28
2018-11,STA.09.TAB,0.3903997439708029,28
2018-12,STA.09.TAB,0.38083338115330523,28
2018-01,STA.10.ILL1,0.3020346414507042,29
2018-02,STA.10.ILL1,0.31179605810344824,29
2018-03,STA.10.ILL1,0.32149521917730495,29
