Month,AirQualityStation,average_no2,index
2018-01,STA.02.WO15,27.171395905633425,17
2018-02,STA.02.WO15,29.672929090401784,17
2018-03,STA.02.WO15,33.70239844301075,17
2018-04,STA.02.WO15,22.293493022847223,17
2018-05,STA.02.WO15,19.1754568822043,17
2018-06,STA.02.WO15,16.089695420520393,17
2018-07,STA.02.WO15,18.369045441355013,17
2018-08,STA.02.WO15,20.06805701513624,17
2018-09,STA.02.WO15,19.15591340452778,17
2018-10,STA.02.WO15,24.34417802477089,17
2018-11,STA.02.WO15,21.18948038959722,17
2018-12,STA.02.WO15,32.44537532889785,17
2018-01,STA.02.WO35,13.258890894596776,19
2018-02,STA.02.WO35,18.686972592339792,19
2018-03,STA.02.WO35,22.113848784216216,19
2018-04,STA.02.WO35,12.64907598226389,19
2018-05,STA.02.WO35,13.686589288486488,19
2018-06,STA.02.WO35,11.3401291514346,19
2018-07,STA.02.WO35,12.354064770672045,19
2018-08,STA.02.WO35,14.607788940296496,19
2018-09,STA.02.WO35,12.745541552437327,19
2018-10,STA.02.WO35,16.332348069891747,19
2018-11,STA.02.WO35,13.59012315379552,19
2018-12,STA.02.WO35,16.6085489979677,19
2018-01,STA.03.0101,18.44272237196765,20
2018-02,STA.03.0101,28.574626865671643,20
2018-03,STA.03.0101,27.986559139784948,20
2018-04,STA.03.0101,21.272222222222226,20
2018-05,STA.03.0101,19.479674796747968,20
2018-06,STA.03.0101,15.84873949579832,20
2018-07,STA.03.0101,16.718034993270525,20
2018-08,STA.03.0101,17.071932299012694,20
2018-09,STA.03.0101,18.067454798331017,20
2018-10,STA.03.0101,27.23719676549865,20
2018-11,STA.03.0101,24.25347222222222,20
2018-12,STA.03.0101,19.967611336032387,20
2018-01,STA.03.0201,17.75537634408602,21
2018-02,STA.03.0201,25.918032786885245,21
2018-03,STA.03.0201,25.563257065948857,21
2018-04,STA.03.0201,19.075,21
2018-05,STA.03.0201,18.385752688172044,21
2018-06,STA.03.0201,14.6557719054242,21
2018-07,STA.03.0201,15.93387314439946,21
2018-08,STA.03.0201,15.954301075268818,21
2018-09,STA.03.0201,14.279861111111112,21
2018-10,STA.03.0201,23.224254742547423,21
2018-11,STA.03.0201,19.60405027932961,21
2018-12,STA.03.0201,19.204851752021565,21
2018-01,STA.03.0301,25.163967611336037,22
2018-02,STA.03.0301,32.87761194029851,22
2018-03,STA.03.0301,31.11185983827493,22
2018-04,STA.03.0301,22.16272600834492,22
2018-05,STA.03.0301,21.450067476383264,22
2018-06,STA.03.0301,17.61958041958042,22
2018-07,STA.03.0301,18.256914119359536,22
2018-08,STA.03.0301,17.974932249322492,22
2018-09,STA.03.0301,17.285394932935915,22
2018-10,STA.03.0301,30.055256064690028,22
2018-11,STA.03.0301,29.688022284122564,22
2018-12,STA.03.0301,23.065275908479137,22
2018-01,STA.03.0302,19.290148448043183,23
2018-02,STA.03.0302,27.4589552238806,23
2018-03,STA.03.0302,27.51889338731444,23
2018-04,STA.03.0302,19.11319444444445,23
2018-05,STA.03.0302,19.582432432432437,23
2018-06,STA.03.0302,14.686974789915968,23
2018-07,STA.03.0302,17.09433962264151,23
2018-08,STA.03.0302,17.27755376344086,23
2018-09,STA.03.0302,15.350710900473931,23
2018-10,STA.03.0302,29.82273342354533,23
2018-11,STA.03.0302,27.059192200557103,23
2018-12,STA.03.0302,19.132749326145557,23
2018-01,STA.03.0401,20.49663526244953,24
2018-02,STA.03.0401,29.63283582089552,24
2018-03,STA.03.0401,28.26315789473684,24
2018-04,STA.03.0401,20.710195530726256,24
2018-05,STA.03.0401,18.323252688172044,24
2018-06,STA.03.0401,15.209654178674352,24
2018-07,STA.03.0401,17.672506738544474,24
2018-08,STA.03.0401,19.111036339165544,24
2018-09,STA.03.0401,18.176388888888887,24
2018-10,STA.03.0401,31.576819407008085,24
2018-11,STA.03.0401,28.418636995827537,24
2018-12,STA.03.0401,20.25100942126514,24
2018-01,STA.03.0502,11.77327935222672,25
