id,country,region,latitude,longitude,elevation,timezone
KN380,US,PA,41.7279,-77.3965,577,America/New_York
64405,CG,LE,-3.6833,13.35,530,Africa/Brazzaville
94317,AU,WA,-23.4,119.8,524,Australia/Perth
86730,BR,GO,-16.9667,-51.8175,737,America/Sao_Paulo
D3155,DE,RP,50.1015,6.8009,413,Europe/Berlin
59368,CN,TT,23.1,121.3667,0,Asia/Taipei
02967,FI,ES,60.2833,27.1833,4,Europe/Helsinki
32207,RU,SAK,48.0667,153.2167,68,Asia/Magadan
71367,CA,NL,49.32,-57.39,166,America/St_Johns
85892,CL,AI,-47.2333,-72.55,167,America/Santiago
95983,AU,TAS,-41.4639,148.2644,3,Australia/Hobart
78767,CR,L,10.0,-83.05,5,America/Costa_Rica
25062,RU,CHU,69.8833,175.7667,2,Asia/Anadyr
ENGK0,NO,AA,58.5167,8.7,119,Europe/Oslo
11110,AT,TR,47.1333,10.2333,2080,Europe/Vienna
71428,CA,QC,49.11,-66.65,5,America/Toronto
30664,RU,CHI,53.5333,115.6167,812,Asia/Yakutsk
37905,AZ,BEY,39.7667,47.75,69,Asia/Baku
TO1XK,CA,SK,50.29,-107.69,817,America/Swift_Current
SFHU0,US,WI,43.8387,-90.1377,276,America/Chicago
47911,JP,ON,24.4667,122.9833,16,Asia/Tokyo
25715,RU,MAG,62.5167,155.8,499,Asia/Magadan
26759,BY,MI,54.2667,28.5,0,Europe/Minsk
72449,US,MO,39.7667,-94.0833,252,America/Chicago
FI5AP,CA,QC,46.35,-72.67,0,America/Toronto
42516,IN,ML,25.5667,91.8833,1598,Asia/Kolkata
D2431,DE,BY,50.1338,10.9318,367,Europe/Berlin
81866,BR,MA,-6.0333,-44.2333,179,America/Fortaleza
64920,CM,CEN,4.7333,11.25,500,Africa/Douala
64610,CF,OUH,6.4833,17.4333,464,Asia/Colombo
37553,GE,KA,41.9333,45.3833,543,Asia/Tbilisi
87022,AR,A,-22.65,-63.8167,450,America/Argentina/Jujuy
94668,AU,SA,-33.1,136.4,263,Australia/Adelaide
72412,US,WV,37.8,-81.1167,763,America/New_York
86979,BR,RS,-29.1672,-51.5347,640,America/Sao_Paulo
KSNC0,US,CT,41.3839,-72.5059,127,America/New_York
43359,IN,TN,9.9167,78.1167,132,Asia/Kolkata
03171,GB,SCT,56.3833,-2.8667,12,Europe/London
BFY6K,US,CA,37.99167,-122.05194,7,America/Los_Angeles
KHNR0,US,IA,41.5844,-95.3397,375,America/Chicago
10771,DE,BY,49.4333,11.9,419,Europe/Berlin
36927,RU,Y,42.4667,76.1833,1660,Asia/Bishkek
10410,DE,NW,51.4,6.9667,152,Europe/Berlin
72269,US,NM,32.3833,-106.4833,1244,America/Denver
D6158,DE,BY,49.2247,10.6084,455,Europe/Berlin
94366,AU,QL,-20.0,148.2,8,Australia/Brisbane
