Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
France,2025,SPO-FR08022_7,FR08022,3.5048,43.2875,19.0,Suburban,Background,STA-FR08022
France,2024,SPO-FR09015_7,FR09015,0.3585,46.587,119.0,Urban,Background,STA-FR09015
France,2024,SPO-FR12004_7,FR12004,1.4181,43.5757,144.0,Urban,Background,STA-FR12004
France,2025,SPO-FR82040_7,FR82040,5.4964,47.0967,223.0,Urban,Background,STA-FR82040
France,2024,SPO-FR41024_7,FR41024,9.19,42.236,653.0,Rural,Background,STA-FR41024
France,2024,SPO-FR16031_7,FR16031,7.3142,48.8573,340.0,Rural,Background,STA-FR16031
France,2025,SPO-FR30019_7,FR30019,6.4528,48.1727,350.0,Urban,Background,STA-FR30019
France,2024,SPO-FR15038_7,FR15038,5.7531,45.1828,219.0,Urban,Background,STA-FR15038
France,2025,SPO-FR16017_7,FR16017,8.1585,48.9194,114.0,Rural,Background,STA-FR16017
France,2024,SPO-FR18035_7,FR18035,2.2398,49.8689,30.0,Suburban,Background,STA-FR18035
France,2025,SPO-FR12030_7,FR12030,1.444,43.5873,146.0,Urban,Background,STA-FR12030
France,2024,SPO-FR16029_7,FR16029,7.7816,48.6104,114.0,Urban,Background,STA-FR16029
France,2025,SPO-FR01018_7,FR01018,6.1228,49.1075,170.0,Suburban,Background,STA-FR01018
France,2024,SPO-FR06133_7,FR06133,3.85,50.0923,151.0,Rural,Background,STA-FR06133
France,2025,SPO-FR31043_7,FR31043,-1.5539,43.4702,70.0,Suburban,Background,STA-FR31043
France,2024,SPO-FR08617_7,FR08617,4.2658,43.9254,76.0,Suburban,Background,STA-FR08617
France,2025,SPO-FR23110_7,FR23110,-2.2499,47.2641,10.0,Urban,Background,STA-FR23110
France,2025,SPO-FR22054_7,FR22054,6.9109,49.1874,233.0,Urban,Background,STA-FR22054
France,2024,SPO-FR21019_7,FR21019,-0.3528,49.1517,22.0,Urban,Background,STA-FR21019
France,2025,SPO-FR30028_7,FR30028,7.0111,48.0511,1200.0,Rural,Background,STA-FR30028
France,2024,SPO-FR15048_7,FR15048,5.8822,45.2797,260.0,Suburban,Background,STA-FR15048
France,2025,SPO-FR10017_7,FR10017,2.3324,51.0328,4.0,Urban,Background,STA-FR10017
France,2024,SPO-FR04101_7,FR04101,2.5175,48.8164,74.0,Urban,Background,STA-FR04101
France,2025,SPO-FR20062_7,FR20062,4.8542,45.7577,160.0,Urban,Background,STA-FR20062
France,2025,SPO-FR16066_7,FR16066,7.3091,47.7374,267.0,Urban,Background,STA-FR16066
France,2024,SPO-FR21001_7,FR21001,-0.3911,49.1922,56.0,Urban,Background,STA-FR21001
France,2025,SPO-FR25036_7,FR25036,1.0938,49.4424,17.0,Urban,Background,STA-FR25036
France,2025,SPO-FR33111_7,FR33111,6.3497,45.2747,555.0,Urban,Background,STA-FR33111
France,2024,SPO-FR07057_7,FR07057,3.3406,46.562,221.0,Urban,Background,STA-FR07057
France,2024,SPO-FR33120_7,FR33120,6.87,45.9225,1038.0,Urban,Background,STA-FR33120
France,2025,SPO-FR41004_7,FR41004,9.476,42.5358,15.0,Suburban,Industrial,STA-FR41004
France,2024,SPO-FR07022_7,FR07022,3.6007,46.6527,235.0,Rural,Background,STA-FR07022
France,2025,SPO-FR21040_7,FR21040,-1.0847,49.1164,56.0,Urban,Background,STA-FR21040
France,2025,SPO-FR33201_7,FR33201,6.1183,45.8953,453.0,Urban,Background,STA-FR33201
France,2024,SPO-FR29439_7,FR29439,4.4297,45.4818,520.0,Suburban,Background,STA-FR29439
France,2025,SPO-FR41017_7,FR41017,9.4346,42.6713,15.0,Suburban,Background,STA-FR41017
France,2024,SPO-FR41007_7,FR41007,8.7576,41.9492,60.0,Suburban,Background,STA-FR41007
France,2024,SPO-FR31016_7,FR31016,-1.4892,43.4798,35.0,Urban,Background,STA-FR31016
France,2025,SPO-FR33202_7,FR33202,6.1356,45.9169,461.0,Urban,Background,STA-FR33202
France,2025,SPO-FR07058_7,FR07058,2.594,46.3407,203.0,Urban,Background,STA-FR07058
France,2025,SPO-FR14042_7,FR14042,4.9661,48.6458,151.0,Urban,Background,STA-FR14042
France,2024,SPO-FR33305_7,FR33305,5.2264,46.2117,220.0,Urban,Background,STA-FR33305
France,2024,SPO-FR04017_7,FR04017,2.2781,48.8814,36.0,Urban,Background,STA-FR04017
France,2024,SPO-FR04098_7,FR04098,2.6353,48.8403,80.0,Urban,Background,STA-FR04098
France,2025,SPO-FR35005_7,FR35005,1.873,46.1736,437.0,Urban,Background,STA-FR35005
France,2024,SPO-FR07059_7,FR07059,3.4257,46.1304,257.0,Urban,Background,STA-FR07059
France,2024,SPO-FR04038_7,FR04038,1.8833,48.5819,152.0,Rural,Background,STA-FR04038
France,2024,SPO-FR36021_7,FR36021,5.279,44.5694,605.0,Rural,Background,STA-FR36021
France,2024,SPO-FR14012_7,FR14012,4.0206,49.2242,96.0,Urban,Background,STA-FR14012
France,2025,SPO-FR04029_7,FR04029,2.1306,48.7992,125.0,Suburban,Background,STA-FR04029
France,2025,SPO-FR07052_7,FR07052,2.4411,44.9201,640.0,Urban,Background,STA-FR07052
France,2025,SPO-FR04034_7,FR04034,2.3758,48.7759,95.0,Urban,Background,STA-FR04034
France,2024,SPO-FR19053_7,FR19053,-4.0977,47.9866,61.0,Urban,Background,STA-FR19053
France,2025,SPO-FR31001_7,FR31001,-0.5804,44.8612,3.0,Urban,Background,STA-FR31001
France,2024,SPO-FR09003_7,FR09003,-1.1537,46.1626,10.0,Urban,Background,STA-FR09003
France,2025,SPO-FR03070_7,FR03070,6.7684,43.4379,5.0,Suburban,Background,STA-FR03070
France,2025,SPO-FR12042_7,FR12042,-0.0405,43.0962,403.0,Urban,Background,STA-FR12042
France,2024,SPO-FR23177_7,FR23177,-0.444,47.7877,54.0,Rural,Background,STA-FR23177
France,2025,SPO-FR04004_7,FR04004,2.3467,48.8917,60.0,Urban,Background,STA-FR04004
France,2024,SPO-FR12052_7,FR12052,0.0623,43.2303,312.0,Urban,Background,STA-FR12052
France,2025,SPO-FR27002_7,FR27002,4.8052,45.3678,157.0,Urban,Background,STA-FR27002
France,2024,SPO-FR29423_7,FR29423,4.0747,46.0411,259.0,Urban,Background,STA-FR29423
France,2024,SPO-FR41003_7,FR41003,8.8203,41.958,30.0,Suburban,Industrial,STA-FR41003
France,2024,SPO-FR31013_7,FR31013,-0.3915,43.3108,197.0,Urban,Background,STA-FR31013
France,2025,SPO-FR14022_7,FR14022,4.36,48.9622,86.0,Urban,Background,STA-FR14022
France,2025,SPO-FR04069_7,FR04069,2.6614,48.5414,56.0,Suburban,Background,STA-FR04069
France,2024,SPO-FR35006_7,FR35006,1.7628,45.2627,264.0,Urban,Background,STA-FR35006
France,2024,SPO-FR35002_7,FR35002,0.8984,45.8849,227.0,Urban,Background,STA-FR35002
