Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Netherlands,2022,SPO-NL00556_06001_600,NL00556,4.8617,52.5636,3.0,Rural,Background
Netherlands,2019,SPO-NL00573_06001_100,NL00573,4.5793,52.4789,11.0,Rural,Industrial
Netherlands,2018,SPO-NL00703_06001_100,NL00703,4.7286,52.3984,-1.0,Rural,Background
Norway,2020,SPO_NO0114A_6001_2324,NO0114A,10.5839,59.9182,62.0,Suburban,Background
Norway,2022,SPO_NO0065A_6001_53,NO0065A,5.7314,58.9616,34.0,Suburban,Background
Norway,2016,SPO_NO0002R_6001_1573,NO0002R,8.2519,58.3885,200.0,Rural,Background
North Macedonia,2023,SPO-MK0044A_06001_100,MK0044A,22.0072,41.4406,269.0,Urban,Industrial
Norway,2014,SPO_NO0095A_6001_933,NO0095A,10.6699,59.9325,60.0,Suburban,Traffic
Norway,2017,SPO_NO0093A_6001_1040,NO0093A,10.704,59.9113,8.0,Urban,Traffic
North Macedonia,2022,SPO-MK0052A_06001_100,MK0052A,21.5629,41.343,650.0,Urban,Background
Norway,2025,SPO_NO0074A_6001_613,NO0074A,10.4649,61.1129,180.0,Suburban,Traffic
North Macedonia,2016,SPO-MK0047A_06001_100,MK0047A,21.423,41.992,246.0,Urban,Traffic
Netherlands,2025,SPO-NL00741_06001_101,NL00741,5.8578,51.8414,31.0,Urban,Traffic
Norway,2016,SPO_NO0039R_6001_1547,NO0039R,8.8766,62.7825,210.0,Rural,Background
Norway,2016,SPO_NO0068A_6001_456,NO0068A,10.4109,63.433,15.0,Urban,Traffic
Poland,2013,SPO_PL0197A_6001_001,PL0197A,17.0127,51.0862,125.0,Urban,Traffic
Norway,2013,SPO_NO0079A_6001_873,NO0079A,18.9637,69.6563,11.0,Suburban,Traffic
Norway,2013,SPO_NO0089A_6001_1083,NO0089A,10.3935,63.4304,30.0,Urban,Background
Norway,2020,SPO_NO0056R_6001_1566,NO0056R,11.0741,60.3729,280.0,Rural,Background
North Macedonia,2021,SPO-MK0038A_06001_100,MK0038A,21.3367,41.0303,600.0,Urban,Traffic
North Macedonia,2024,SPO-MK0050A_06001_100,MK0050A,20.9097,41.7997,510.0,Urban,Background
Poland,2021,SPO_PL0198A_6001_001,PL0198A,15.0082,51.1504,215.0,Urban,Background
Norway,2024,SPO_NO0126A_6001_2992,NO0126A,14.4191,67.2755,100.0,Suburban,Traffic
Italy,2022,SPO.IT2319A_6001_gravi_2018-01-01_00:00:00,IT2319A,12.3231,45.4356,1.0,Urban,Traffic
Norway,2025,SPO_NO0112A_6001_1222,NO0112A,10.6618,59.4335,100.0,Suburban,Traffic
Norway,2025,SPO_NO0122A_6001_2946,NO0122A,10.8504,59.9256,95.0,Suburban,Traffic
Norway,2018,SPO_NO0059A_6001_13,NO0059A,5.3404,60.3741,20.0,Urban,Traffic
North Macedonia,2021,SPO-MK0051A_06001_100,MK0051A,22.496,41.1391,60.0,Urban,Background
Norway,2014,SPO_NO0073A_6001_1119,NO0073A,10.7657,59.9231,24.0,Urban,Background
Luxembourg,2013,SPO-LU0104A_06001_100,LU0104A,5.8471,49.7318,288.0,Rural,Background
Norway,2014,SPO_NO0083A_6001_913,NO0083A,10.6965,59.9193,17.0,Urban,Traffic
