Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Albania,2016,SPO-AL0206A_00008_100,AL0206A,19.5234,42.3139,13.0,Urban,Background,STA-AL0206A
Albania,2017,SPO-AL0207A_00008_100,AL0207A,20.0817,41.111,150.0,Urban,Traffic,STA-AL0207A
Albania,2017,SPO-AL0203A_00008_100,AL0203A,20.7802,40.6259,848.0,Suburban,Background,STA-AL0203A
Albania,2019,SPO-AL0205A_00008_100,AL0205A,19.4492,41.3199,1.0,Urban,Traffic,STA-AL0205A
Belgium,2022,SPO-BETM802_00008_100,BETM802,4.4244,51.261,3.0,Suburban,Industrial,STA-BETM802
Belgium,2011,SPO-BETMEU1_00008_100,BETMEU1,4.3957,50.895,34.0,suburban,Background,STA-BETMEU1
Belgium,2004,SPO-BETN070_00008_100,BETN070,3.9397,50.4652,30.0,suburban,Background,STA-BETN070
Belgium,2006,SPO-BETR222_00008_100,BETR222,5.5702,50.6134,65.0,suburban,Background,STA-BETR222
Belgium,2023,SPO-BETR831_00008_100,BETR831,4.3397,51.3488,3.0,Rural,Industrial,STA-BETR831
Belgium,2025,SPO-BETR001_00008_100,BETR001,4.3341,50.8497,20.0,Urban,Background,STA-BETR001
Belgium,2025,SPO-BETR801_00008_100,BETR801,4.4318,51.2097,6.0,Urban,Background,STA-BETR801
Belgium,2023,SPO-BETR012_00008_100,BETR012,4.3586,50.7966,101.0,Suburban,Background,STA-BETR012
Belgium,2013,SPO-BETN027_00008_100,BETN027,5.6067,51.1337,48.0,Rural,Background,STA-BETN027
Belgium,2007,SPO-BETR721_00008_100,BETR721,3.7161,51.089,6.0,suburban,Industrial,STA-BETR721
Belgium,2001,SPO-BETR830_00008_100,BETR830,4.2626,51.3182,5.0,rural,Industrial,STA-BETR830
Belgium,2018,SPO-BETN063_00008_100,BETN063,4.6683,50.6554,145.0,Rural,Background,STA-BETN063
Belgium,2017,SPO-BETN085_00008_100,BETN085,6.0017,50.3032,490.0,Rural,Background,STA-BETN085
Belgium,2001,SPO-BETR897_00008_100,BETR897,4.3421,51.2501,5.0,suburban,Industrial,STA-BETR897
Belgium,2018,SPO-BETE007_00008_100,BETE007,4.2526,50.7953,54.0,Rural,Industrial,STA-BETE007
Belgium,2017,SPO-BETN073_00008_100,BETN073,4.9884,50.5027,160.0,Rural,Background,STA-BETN073
Belgium,2011,SPO-BETN051_00008_100,BETN051,3.9303,50.7989,15.0,rural,Background,STA-BETN051
Belgium,2024,SPO-BETE716_00008_100,BETE716,3.6828,51.067,8.0,Suburban,Industrial,STA-BETE716
Belgium,2002,SPO-BETB004_00008_100,BETB004,4.3478,50.8521,17.0,urban,Traffic,STA-BETB004
Belgium,2012,SPO-BETE715_00008_100,BETE715,3.175,51.2459,4.0,rural,Industrial,STA-BETE715
Belgium,2020,SPO-BETE009_00008_100,BETE009,4.4354,50.9549,43.0,Rural,Industrial,STA-BETE009
Belgium,1999,SPO-BETR020_00008_100,BETR020,4.4367,50.9414,12.0,suburban,Traffic,STA-BETR020
Belgium,2016,SPO-BETN132_00008_100,BETN132,5.6304,49.7193,375.0,Rural,Background,STA-BETN132
Belgium,1997,SPO-BETN016_00008_100,BETN016,5.164,51.2337,30.0,rural,Background,STA-BETN016
Belgium,2024,SPO-BETR820_00008_100,BETR820,4.4448,51.3204,11.0,Suburban,Background,STA-BETR820
Belgium,2018,SPO-BETE008_00008_100,BETE008,4.3959,50.9261,14.0,Rural,Industrial,STA-BETE008
Belgium,2025,SPO-BETN113_00008_100,BETN113,5.593,50.027,510.0,Rural,Background,STA-BETN113
Belgium,2011,SPO-BETN066_00008_100,BETN066,6.0023,50.6289,295.0,rural,Background,STA-BETN066
Belgium,2008,SPO-BETN121_00008_100,BETN121,5.2024,49.8771,430.0,rural,Background,STA-BETN121
Belgium,2011,SPO-BETN029_00008_100,BETN029,2.5823,51.0163,2.0,rural,Background,STA-BETN029
Belgium,2009,SPO-BETM705_00008_100,BETM705,3.1524,50.9454,19.0,suburban,Industrial,STA-BETM705
Belgium,2023,SPO-BETR750_00008_100,BETR750,3.8229,51.1961,6.0,Rural,Industrial,STA-BETR750
Belgium,1994,SPO-BETR701_00008_100,BETR701,3.7293,51.0583,5.0,urban,Background,STA-BETR701
Belgium,2021,SPO-BETB006_00008_100,BETB006,4.3744,50.8386,67.0,Urban,Background,STA-BETB006
Belgium,2010,SPO-BETE703_00008_100,BETE703,3.6873,51.1903,0.0,rural,Industrial,STA-BETE703
Belgium,2018,SPO-BETE814_00008_100,BETE814,5.1297,51.0822,0.0,Rural,Industrial,STA-BETE814
Belgium,2014,SPO-BETN043_00008_100,BETN043,4.383,50.8837,17.0,Suburban,Industrial,STA-BETN043
Belgium,2022,SPO-BETR817_00008_100,BETR817,4.418,51.1772,6.0,Suburban,Background,STA-BETR817
Belgium,2023,SPO-BETR221_00008_100,BETR221,5.6278,50.6584,65.0,Urban,Background,STA-BETR221
Belgium,2017,SPO-BETWOL1_00008_100,BETWOL1,4.4258,50.8567,78.0,Suburban,Traffic,STA-BETWOL1
Belgium,2006,SPO-BETR710_00008_100,BETR710,3.7753,51.0613,6.0,suburban,Background,STA-BETR710
Belgium,1998,SPO-BETR740_00008_100,BETR740,3.8087,51.1501,5.0,rural,Industrial,STA-BETR740
Belgium,2003,SPO-BETB011_00008_100,BETB011,4.2887,50.8578,66.0,suburban,Background,STA-BETB011
Belgium,2000,SPO-BETN100_00008_100,BETN100,4.5948,50.0957,225.0,rural,Background,STA-BETN100
Belgium,1998,SPO-BETR512_00008_100,BETR512,4.3959,50.4078,107.0,suburban,Industrial,STA-BETR512
Belgium,2017,SPO-BETR223_00008_100,BETR223,5.5164,50.6207,50.0,Suburban,Industrial,STA-BETR223
Belgium,2023,SPO-BETR702_00008_100,BETR702,3.7348,51.0408,8.0,Urban,Traffic,STA-BETR702
Belgium,2003,SPO-BELLD02_00008_100,BELLD02,5.0216,51.1204,22.0,suburban,Background,STA-BELLD02
Belgium,2007,SPO-BETR811_00008_100,BETR811,4.4914,51.2521,8.0,suburban,Background,STA-BETR811
Belgium,2018,SPO-BETR002_00008_100,BETR002,4.3846,50.8251,76.0,Urban,Traffic,STA-BETR002
Belgium,2008,SPO-BELSZ02_00008_100,BELSZ02,4.5122,50.913,15.0,suburban,Background,STA-BELSZ02
Belgium,2004,SPO-BETN012_00008_100,BETN012,3.3625,51.2546,3.0,rural,Background,STA-BETN012
Belgium,2015,SPO-BETM702_00008_100,BETM702,3.7621,51.166,5.0,Rural,Industrial,STA-BETM702
Belgium,2025,SPO-BETN060_00008_100,BETN060,3.4576,50.6167,0.0,Rural,Background,STA-BETN060
Belgium,2016,SPO-BETN035_00008_100,BETN035,4.8376,50.9776,55.0,Rural,Background,STA-BETN035
Belgium,2018,SPO-BETR893_00008_100,BETR893,4.3858,51.2814,6.0,Suburban,Industrial,STA-BETR893
Belgium,2009,SPO-BETN046_00008_100,BETN046,5.6189,50.8823,70.0,rural,Background,STA-BETN046
Belgium,2003,SPO-BETR892_00008_100,BETR892,4.2789,51.263,9.0,suburban,Industrial,STA-BETR892
Belgium,2019,SPO-BETR805_00008_100,BETR805,4.4215,51.2082,6.0,Urban,Traffic,STA-BETR805
Belgium,1996,SPO-BETR010_00008_100,BETR010,4.4284,50.8651,68.0,suburban,Background,STA-BETR010
Belgium,2023,SPO-BETN093_00008_100,BETN093,5.2352,50.2745,265.0,Rural,Background,STA-BETN093
Belgium,2015,SPO-BETE714_00008_100,BETE714,3.2486,51.279,11.0,Rural,Industrial,STA-BETE714
Belgium,2006,SPO-BETN040_00008_100,BETN040,4.2252,50.7681,20.0,rural,Background,STA-BETN040
Belgium,2019,SPO-BETR834_00008_100,BETR834,4.3802,51.0919,0.0,Suburban,Background,STA-BETR834
Belgium,2007,SPO-BETR501_00008_100,BETR501,4.4522,50.4093,115.0,urban,Traffic,STA-BETR501
Belgium,1999,SPO-BETR502_00008_100,BETR502,4.4587,50.429,135.0,suburban,Background,STA-BETR502
Belgium,2018,SPO-BETN054_00008_100,BETN054,5.1032,50.7117,135.0,Rural,Background,STA-BETN054
Belgium,2024,SPO-BETN052_00008_100,BETN052,3.3225,50.8149,27.0,Suburban,Background,STA-BETN052
